Start|End|Speaker
00:32:56.903|00:33:03.265|1
00:33:03.636|00:33:23.414|2
00:33:24.224|00:33:52.810|1
00:33:53.839|00:33:54.346|2
00:33:55.729|00:34:07.187|1
00:34:07.694|00:34:08.453|2
00:34:09.229|00:34:32.804|1
00:34:37.022|00:34:43.351|2
00:34:45.156|00:35:08.056|1
00:35:09.186|00:35:11.447|2
00:35:12.696|00:35:16.071|1
00:35:18.130|00:35:23.429|2
00:35:24.272|00:35:44.590|1
00:35:45.029|00:35:45.400|2
00:35:45.535|00:37:24.743|1
00:37:25.502|00:37:32.489|2
00:37:33.282|00:37:59.286|1
00:38:00.214|00:38:05.192|2
00:38:06.137|00:38:12.533|1
00:38:12.955|00:38:13.714|2
00:38:14.204|00:38:15.925|1
00:38:16.313|00:38:20.583|2
00:38:21.764|00:38:27.484|1
00:38:27.991|00:38:29.206|2
00:38:30.488|00:38:30.758|1
00:38:30.758|00:39:02.028|2
00:39:02.669|00:39:04.322|1
00:39:05.031|00:39:05.538|2
00:39:06.702|00:39:18.751|1
00:39:19.105|00:39:19.493|2
00:39:19.763|00:39:29.601|1
00:39:31.930|00:39:36.014|2
00:39:36.014|00:39:38.663|1
00:39:39.153|00:39:40.722|2
00:39:40.637|00:39:42.173|1
00:39:42.578|00:39:44.401|2
00:39:45.211|00:39:47.522|1
00:39:48.012|00:39:48.839|2
00:39:48.873|00:39:49.632|1
00:39:50.054|00:39:59.369|2
00:40:00.111|00:40:05.174|1
00:40:05.579|00:40:05.933|2
00:40:06.456|00:40:07.739|1
00:40:08.296|00:40:23.770|2
00:40:24.749|00:40:32.798|1
00:40:33.169|00:40:45.134|2
00:40:45.421|00:40:57.115|1
00:40:57.250|00:41:04.337|2
00:41:05.603|00:41:09.248|1
00:41:09.721|00:41:10.109|2
00:41:10.986|00:41:13.939|1
00:41:14.243|00:41:15.053|2
00:41:16.369|00:41:34.054|1
00:41:34.915|00:41:50.204|2
00:41:50.204|00:41:51.402|1
00:41:51.655|00:41:51.925|2
00:41:52.111|00:41:55.654|1
00:41:56.616|00:41:58.270|2
00:41:59.249|00:42:00.649|1
00:42:03.029|00:42:32.425|1
