Start|End|Speaker
00:32:38.140|00:32:48.683|1
00:32:48.872|00:32:55.821|2
00:32:56.112|00:32:56.986|3
00:32:56.787|00:33:03.432|2
00:33:03.520|00:33:23.581|3
00:33:24.091|00:34:07.371|1
00:34:07.561|00:34:08.637|3
00:34:09.096|00:34:25.124|1
00:34:26.224|00:34:32.987|2
00:34:35.877|00:34:43.517|3
00:34:45.023|00:35:08.222|1
00:35:09.053|00:35:11.614|3
00:35:12.563|00:35:16.238|1
00:35:17.997|00:35:23.612|3
00:35:24.156|00:35:44.757|1
00:35:44.896|00:35:45.567|3
00:35:45.402|00:36:25.712|1
00:36:25.784|00:36:26.388|3
00:36:26.104|00:37:24.910|1
00:37:25.369|00:37:32.672|3
00:37:33.166|00:37:59.453|1
00:38:00.081|00:38:05.359|3
00:38:06.004|00:38:12.700|1
00:38:12.839|00:38:13.898|3
00:38:14.071|00:38:16.109|2
00:38:16.197|00:38:20.749|3
00:38:21.631|00:38:27.651|1
00:38:27.874|00:38:29.372|3
00:38:30.355|00:38:30.925|1
00:38:30.625|00:38:40.004|3
00:38:40.953|00:38:42.130|2
00:38:41.729|00:39:02.211|3
00:39:02.536|00:39:09.113|1
00:39:08.813|00:39:17.179|2
00:39:16.879|00:39:18.918|1
00:39:18.989|00:39:19.677|3
00:39:19.647|00:39:26.123|1
00:39:25.823|00:39:29.768|2
00:39:31.797|00:39:36.181|3
00:39:35.881|00:39:38.813|2
00:39:39.019|00:39:40.889|3
00:39:40.538|00:39:42.340|2
00:39:42.445|00:39:44.567|3
00:39:45.094|00:39:47.672|2
00:39:47.896|00:39:48.972|3
00:39:48.739|00:39:49.782|2
00:39:49.921|00:39:59.553|3
00:39:59.978|00:40:05.341|1
00:40:05.463|00:40:06.100|3
00:40:06.340|00:40:07.922|1
00:40:08.179|00:40:23.954|3
00:40:24.616|00:40:32.965|1
00:40:33.138|00:40:45.301|3
00:40:45.304|00:40:57.282|1
00:40:57.117|00:41:04.521|3
00:41:05.470|00:41:09.415|1
00:41:09.588|00:41:10.276|3
00:41:10.853|00:41:14.106|1
00:41:14.110|00:41:15.237|3
00:41:16.236|00:41:34.188|1
00:41:34.782|00:41:50.388|3
00:41:50.088|00:41:51.569|1
00:41:51.539|00:41:52.092|3
00:41:51.994|00:41:55.838|1
00:41:56.500|00:41:58.437|3
00:41:59.116|00:42:00.816|1
00:42:02.912|00:42:32.592|1
