Threshold: 0,75
Start|End|Speaker
00:00:00.030|00:00:32.633|0
00:00:32.920|00:00:33.240|2
00:00:33.696|00:00:45.559|0
00:00:46.251|00:00:47.365|0
00:00:47.736|00:00:48.057|4
00:00:49.339|00:01:03.970|0
00:01:03.970|00:01:06.231|8
00:01:06.231|00:01:08.661|7
00:01:10.399|00:01:12.779|8
00:01:12.610|00:01:13.757|10
00:01:13.791|00:01:15.630|8
00:01:13.808|00:01:14.500|0
00:01:14.230|00:01:15.327|7
00:01:15.023|00:01:15.360|10
00:01:16.356|00:01:30.025|0
00:01:30.160|00:06:51.966|12
00:06:51.966|00:06:58.615|17
00:06:59.459|00:08:34.583|19
00:08:35.359|00:08:36.962|8
00:08:36.962|00:08:37.907|9
00:08:39.780|00:08:42.312|12
00:08:43.628|00:08:50.024|23
00:08:50.024|00:08:50.580|12
00:08:51.509|00:10:50.815|12
00:10:53.447|00:10:58.139|8
00:10:59.843|00:11:05.024|14
00:11:05.024|00:12:02.837|12
00:12:07.174|00:12:11.359|8
00:12:13.502|00:12:15.038|32
00:12:15.038|00:13:14.843|12
00:13:16.885|00:13:29.693|0
00:13:30.199|00:13:30.520|19
00:13:31.380|00:14:15.036|19
00:14:15.036|00:14:42.644|0
00:14:44.702|00:14:45.968|6
00:14:45.968|00:15:08.108|19
00:15:09.947|00:15:13.795|8
00:15:15.887|00:15:23.161|19
00:15:24.915|00:15:30.383|8
00:15:30.417|00:15:49.806|19
00:15:49.806|00:15:57.974|12
00:15:57.974|00:16:00.741|23
00:16:01.838|00:16:16.283|0
00:16:18.342|00:17:11.296|19
00:17:14.401|00:17:16.037|8
00:17:16.037|00:17:22.973|0
00:17:24.998|00:17:26.145|43
00:17:26.061|00:17:27.529|19
00:17:26.669|00:17:27.107|43
00:17:28.052|00:17:28.964|19
00:17:30.820|00:17:33.419|19
00:17:33.655|00:17:35.039|14
00:17:35.039|00:17:42.767|12
00:17:43.510|00:17:44.067|12
00:17:43.544|00:17:44.117|0
00:17:43.611|00:17:43.966|45
00:17:45.400|00:17:48.859|0
00:17:50.682|00:17:54.664|19
00:17:56.892|00:17:59.288|8
00:18:01.532|00:18:27.638|19
00:18:27.638|00:18:34.962|12
00:18:34.962|00:18:52.022|23
00:18:52.022|00:19:12.374|12
00:19:12.374|00:19:45.331|19
00:19:12.711|00:19:13.116|22
00:19:46.664|00:20:09.968|0
00:20:09.968|00:20:11.520|8
00:20:12.027|00:20:23.401|19
00:20:24.076|00:20:35.719|19
00:20:36.462|00:20:38.031|48
00:20:38.031|00:20:39.567|0
00:20:39.567|00:20:41.052|41
00:20:41.356|00:20:48.966|0
00:20:48.966|00:20:51.599|8
00:20:53.117|00:21:13.030|19
00:21:13.030|00:21:19.223|6
00:21:21.079|00:21:52.585|0
00:21:52.534|00:22:17.037|23
00:22:17.037|00:25:24.687|12
00:25:27.252|00:25:56.986|0
00:25:58.049|00:26:00.293|14
00:26:01.238|00:26:01.964|0
00:26:01.964|00:26:04.394|8
00:26:10.266|00:26:13.979|12
00:26:13.979|00:26:15.362|55
00:26:15.362|00:26:22.787|12
00:26:22.787|00:26:30.027|17
00:26:30.027|00:28:14.804|12
00:28:17.301|00:29:14.828|19
00:29:16.229|00:29:21.578|9
00:29:23.215|00:29:29.290|19
00:29:29.712|00:29:32.969|12
00:29:32.969|00:29:40.022|23
00:29:40.022|00:29:45.389|12
00:29:48.781|00:31:01.512|0
00:31:02.406|00:31:48.677|19
00:31:49.707|00:31:53.976|12
00:31:53.976|00:32:11.037|17
00:32:11.037|00:32:25.330|12
00:32:25.330|00:32:25.684|60
00:32:25.954|00:33:06.977|12
00:33:06.977|00:33:10.892|17
00:33:11.770|00:33:12.209|62
00:33:15.094|00:33:45.976|0
00:33:45.976|00:33:49.502|8
00:33:52.456|00:33:57.721|17
00:33:57.721|00:34:11.373|0
00:34:11.625|00:34:12.047|3
00:34:12.250|00:34:43.486|0
00:34:43.722|00:34:44.093|19
00:34:44.262|00:34:44.886|0
00:34:46.793|00:35:44.826|19
00:35:46.058|00:35:50.108|19
00:35:52.302|00:35:57.972|12
00:35:57.972|00:36:23.520|17
00:36:25.512|00:36:43.973|0
00:36:43.973|00:36:48.715|8
00:36:48.867|00:37:30.464|12
00:37:33.738|00:37:40.032|9
00:37:40.032|00:38:17.494|0
00:38:17.815|00:38:34.369|19
00:38:34.623|00:38:35.028|20
00:38:35.028|00:38:36.496|0
00:38:35.618|00:38:35.922|20
00:38:39.128|00:39:09.014|0
00:39:10.532|00:39:14.026|8
00:39:14.026|00:39:20.185|29
00:39:20.185|00:39:21.197|74
00:39:21.197|00:39:21.738|29
00:39:21.738|00:39:23.037|74
00:39:23.037|00:40:02.339|19
00:40:03.351|00:40:07.199|8
00:40:05.393|00:40:05.731|41
00:40:07.199|00:40:08.312|41
00:40:07.216|00:40:08.279|42
00:40:11.215|00:40:13.763|8
00:40:14.286|00:40:45.978|12
00:40:45.978|00:40:55.664|17
00:40:56.288|00:41:07.696|0
00:41:08.522|00:41:09.468|47
00:41:09.552|00:41:11.847|9
00:41:10.902|00:41:11.239|6
