Threshold: 0,55
Start|End|Speaker
00:00:00.030|00:00:32.633|0
00:00:32.920|00:00:33.240|2
00:00:33.696|00:00:45.559|0
00:00:46.251|00:00:47.365|0
00:00:47.736|00:00:48.057|4
00:00:49.339|00:01:03.970|0
00:01:03.970|00:01:06.231|9
00:01:06.231|00:01:08.661|8
00:01:10.399|00:01:10.973|9
00:01:10.737|00:01:12.053|11
00:01:11.834|00:01:12.795|10
00:01:12.795|00:01:13.757|13
00:01:13.791|00:01:15.630|11
00:01:13.808|00:01:14.500|0
00:01:13.825|00:01:14.601|10
00:01:14.230|00:01:15.327|14
00:01:15.023|00:01:15.360|13
00:01:16.356|00:01:30.025|0
00:01:30.160|00:06:51.966|18
00:06:51.966|00:06:58.615|25
00:06:59.459|00:07:06.968|27
00:07:06.968|00:08:34.195|29
00:08:34.195|00:08:34.617|10
00:08:35.359|00:08:36.034|31
00:08:36.034|00:08:37.924|10
00:08:39.780|00:08:42.312|34
00:08:43.628|00:08:50.024|35
00:08:50.024|00:08:50.580|18
00:08:51.509|00:10:50.815|18
00:10:53.447|00:10:58.139|31
00:10:59.843|00:11:05.024|44
00:11:05.024|00:12:02.837|18
00:12:07.174|00:12:11.359|31
00:12:13.502|00:12:15.038|46
00:12:15.038|00:13:14.843|18
00:13:16.885|00:13:29.693|0
00:13:30.199|00:13:30.503|52
00:13:31.380|00:13:33.034|52
00:13:33.034|00:14:10.969|29
00:14:10.969|00:14:15.036|32
00:14:15.036|00:14:42.644|0
00:14:44.702|00:15:08.108|29
00:14:44.719|00:14:45.023|59
00:15:09.947|00:15:13.795|48
00:15:15.887|00:15:23.161|27
00:15:24.915|00:15:30.383|48
00:15:30.417|00:15:49.806|27
00:15:49.806|00:15:57.974|18
00:15:57.974|00:16:00.741|35
00:16:01.838|00:16:16.283|0
00:16:18.359|00:17:09.962|29
00:17:09.962|00:17:11.262|62
00:17:14.401|00:17:16.037|31
00:17:16.037|00:17:22.973|0
00:17:24.998|00:17:26.145|72
00:17:26.061|00:17:27.529|27
00:17:26.669|00:17:27.107|72
00:17:28.052|00:17:28.964|27
00:17:30.820|00:17:33.419|27
00:17:33.655|00:17:35.039|61
00:17:35.039|00:17:42.767|18
00:17:43.510|00:17:44.067|18
00:17:43.544|00:17:44.117|0
00:17:45.400|00:17:48.859|0
00:17:50.682|00:17:54.664|62
00:17:56.892|00:17:59.288|9
00:18:01.532|00:18:06.038|78
00:18:06.038|00:18:27.638|29
00:18:27.638|00:18:34.962|18
00:18:34.962|00:18:52.022|35
00:18:52.022|00:19:12.374|18
00:19:12.374|00:19:20.035|62
00:19:12.711|00:19:13.116|82
00:19:20.035|00:19:45.331|29
00:19:46.664|00:20:09.968|0
00:20:09.968|00:20:11.520|48
00:20:12.027|00:20:17.039|62
00:20:17.039|00:20:23.401|29
00:20:24.076|00:20:35.719|29
00:20:36.462|00:20:38.031|88
00:20:38.031|00:20:39.567|0
00:20:39.567|00:20:41.052|89
00:20:41.356|00:20:48.966|0
00:20:48.966|00:20:51.599|31
00:20:53.117|00:21:13.975|29
00:21:13.975|00:21:19.223|81
00:21:21.079|00:21:51.977|0
00:21:51.977|00:22:17.037|35
