Threshold: 0,65
Start|End|Speaker
00:00:00.030|00:00:32.633|0
00:00:32.920|00:00:33.240|2
00:00:33.696|00:00:45.559|0
00:00:46.251|00:00:47.365|0
00:00:47.736|00:00:48.057|4
00:00:49.339|00:01:03.970|0
00:01:03.970|00:01:06.231|8
00:01:06.231|00:01:08.661|7
00:01:10.399|00:01:10.973|8
00:01:10.737|00:01:12.053|10
00:01:11.834|00:01:12.795|9
00:01:12.610|00:01:13.757|11
00:01:13.791|00:01:15.630|10
00:01:13.808|00:01:14.500|0
00:01:13.825|00:01:14.601|9
00:01:14.230|00:01:15.327|12
00:01:15.023|00:01:15.360|11
00:01:16.356|00:01:30.025|0
00:01:30.160|00:06:51.966|15
00:06:51.966|00:06:58.615|20
00:06:59.459|00:07:06.968|22
00:07:06.968|00:08:34.195|24
00:08:34.195|00:08:34.617|9
00:08:35.359|00:08:36.962|8
00:08:36.962|00:08:37.907|9
00:08:39.780|00:08:42.312|28
00:08:43.628|00:08:50.024|29
00:08:50.024|00:08:50.580|15
00:08:51.509|00:10:50.815|15
00:10:53.447|00:10:58.139|8
00:10:59.843|00:11:05.024|38
00:11:05.024|00:12:02.837|15
00:12:07.174|00:12:11.359|8
00:12:13.502|00:12:15.038|40
00:12:15.038|00:13:14.843|15
00:13:16.885|00:13:29.693|0
00:13:30.199|00:13:30.503|26
00:13:31.380|00:13:33.034|26
00:13:33.034|00:14:10.969|24
00:14:10.969|00:14:15.036|26
00:14:15.036|00:14:42.644|0
00:14:44.702|00:15:08.108|24
00:14:44.719|00:14:45.023|50
00:15:09.947|00:15:13.795|42
00:15:15.887|00:15:23.161|22
00:15:24.915|00:15:30.383|42
00:15:30.417|00:15:49.806|22
00:15:49.806|00:15:57.974|15
00:15:57.974|00:16:00.741|29
00:16:01.838|00:16:16.283|0
00:16:18.342|00:16:19.034|22
00:16:19.034|00:17:11.296|24
00:17:14.401|00:17:16.037|8
00:17:16.037|00:17:22.973|0
00:17:24.998|00:17:26.145|58
00:17:26.061|00:17:27.529|22
00:17:26.669|00:17:27.107|58
00:17:28.052|00:17:28.964|22
00:17:30.820|00:17:33.419|22
00:17:33.655|00:17:35.039|38
00:17:35.039|00:17:42.767|15
00:17:43.510|00:17:44.067|15
00:17:43.544|00:17:44.117|0
00:17:43.611|00:17:43.966|60
00:17:45.400|00:17:48.859|0
00:17:50.682|00:17:54.664|24
00:17:56.892|00:17:59.288|8
00:18:01.532|00:18:06.966|22
00:18:06.966|00:18:27.638|24
00:18:27.638|00:18:34.962|15
00:18:34.962|00:18:52.022|29
00:18:52.022|00:19:12.374|15
00:19:12.374|00:19:45.331|24
00:19:12.711|00:19:13.116|63
00:19:46.664|00:20:09.968|0
00:20:09.968|00:20:11.520|42
00:20:12.027|00:20:23.401|24
00:20:24.076|00:20:35.719|24
00:20:36.462|00:20:38.031|69
00:20:38.031|00:20:39.567|0
00:20:39.567|00:20:41.052|70
00:20:41.356|00:20:48.966|0
00:20:48.966|00:20:51.599|8
00:20:53.117|00:21:13.975|24
00:21:13.975|00:21:19.223|51
00:21:21.079|00:21:52.585|0
00:21:52.534|00:22:17.037|29
00:22:17.037|00:25:24.687|15
