Threshold: 0,90
Start|End|Speaker
00:00:00.030|00:00:32.633|0
00:00:32.920|00:00:33.240|2
00:00:33.696|00:00:45.559|0
00:00:46.251|00:00:47.365|0
00:00:47.736|00:00:48.057|3
00:00:49.339|00:01:06.248|0
00:01:06.248|00:01:08.661|6
00:01:10.399|00:01:12.981|0
00:01:12.981|00:01:15.394|6
00:01:13.791|00:01:15.647|0
00:01:16.356|00:01:30.025|0
00:01:30.160|00:06:58.615|8
00:06:59.459|00:08:34.431|5
00:08:35.342|00:08:37.924|0
00:08:39.780|00:08:42.312|8
00:08:43.628|00:08:50.024|10
00:08:50.024|00:08:50.580|8
00:08:51.509|00:10:50.815|8
00:10:53.447|00:10:58.139|0
00:10:59.843|00:11:05.024|10
00:11:05.024|00:12:02.837|8
00:12:07.174|00:12:11.359|0
00:12:13.485|00:13:14.843|8
00:13:16.885|00:13:29.693|0
00:13:30.199|00:13:30.520|5
00:13:31.380|00:14:15.036|5
00:14:15.036|00:14:42.644|0
00:14:44.702|00:15:08.108|5
00:15:09.947|00:15:13.795|0
00:15:15.887|00:15:23.161|5
00:15:24.915|00:15:30.383|0
00:15:30.417|00:15:49.806|5
00:15:49.806|00:15:57.974|8
00:15:57.974|00:16:00.741|10
00:16:01.838|00:16:16.283|0
00:16:18.342|00:17:11.296|5
00:17:14.401|00:17:22.973|0
00:17:24.998|00:17:27.529|5
00:17:28.052|00:17:28.964|5
00:17:30.820|00:17:33.419|5
00:17:33.655|00:17:35.039|10
00:17:35.039|00:17:42.767|8
00:17:43.510|00:17:44.067|8
00:17:43.544|00:17:44.117|0
00:17:43.611|00:17:43.966|26
00:17:45.400|00:17:48.859|0
00:17:50.682|00:17:54.664|5
00:17:56.892|00:17:59.288|0
00:18:01.532|00:18:27.638|5
00:18:27.638|00:18:34.962|8
00:18:34.962|00:18:52.022|10
00:18:52.022|00:19:12.340|8
00:19:12.340|00:19:45.331|5
00:19:46.664|00:20:11.520|0
00:20:12.027|00:20:23.401|5
00:20:24.076|00:20:35.719|5
00:20:36.462|00:20:38.031|28
00:20:38.031|00:20:39.567|0
00:20:39.567|00:20:41.052|24
00:20:41.356|00:20:51.599|0
00:20:53.117|00:21:19.223|5
00:21:21.079|00:21:52.585|0
00:21:52.534|00:22:17.037|10
00:22:17.037|00:25:24.687|8
00:25:27.252|00:25:56.986|0
00:25:58.049|00:26:00.293|10
00:26:01.238|00:26:04.394|0
00:26:10.266|00:26:13.979|8
00:26:13.979|00:26:15.362|27
00:26:15.362|00:28:14.804|8
00:28:17.301|00:29:14.828|5
00:29:16.229|00:29:21.578|0
00:29:23.215|00:29:29.290|5
00:29:29.712|00:29:32.969|8
00:29:32.969|00:29:40.022|10
00:29:40.022|00:29:45.389|8
00:29:48.781|00:31:01.512|0
00:31:02.406|00:31:48.677|5
00:31:49.707|00:32:25.330|8
00:32:25.330|00:32:25.684|32
00:32:25.954|00:33:10.892|8
00:33:11.770|00:33:12.209|32
00:33:15.094|00:33:49.502|0
00:33:52.456|00:33:57.721|8
00:33:57.721|00:34:11.373|0
00:34:11.625|00:34:12.047|2
00:34:12.250|00:34:43.486|0
00:34:43.722|00:34:44.093|5
00:34:44.262|00:34:44.886|0
00:34:46.793|00:35:44.826|5
00:35:46.058|00:35:50.108|5
00:35:52.302|00:36:23.520|8
00:36:25.512|00:36:48.715|0
00:36:48.867|00:37:30.464|8
00:37:33.738|00:38:17.494|0
00:38:17.815|00:38:34.369|5
00:38:34.623|00:38:35.028|12
00:38:35.028|00:38:36.496|0
00:38:35.618|00:38:35.922|12
00:38:39.128|00:39:09.081|0
00:39:10.532|00:39:14.026|0
00:39:14.026|00:39:20.185|17
00:39:20.185|00:39:21.197|24
00:39:21.197|00:39:21.738|17
00:39:21.738|00:39:23.037|24
00:39:23.037|00:40:02.339|5
00:40:03.351|00:40:07.199|0
00:40:05.393|00:40:05.697|24
00:40:05.427|00:40:05.764|21
00:40:07.199|00:40:08.279|21
00:40:07.840|00:40:08.312|24
00:40:11.215|00:40:13.763|0
00:40:14.286|00:40:55.664|8
00:40:56.288|00:41:07.696|0
00:41:08.522|00:41:09.468|27
00:41:09.552|00:41:11.847|0
00:41:10.936|00:41:11.239|5
